"etf_code","etf_name","base_index_name","listing_date","market_large","market_medium","market_small","asset_large","asset_medium","asset_small","found_kr_cd","launch_date","theme","investment_object","investment_strategy","description","fiscal_month","total_expense","asset_management_company","aum","disparate_ratio","dividend_yield"
"A091160","KODEX 반도체","KRX 반도체","2006-06-27","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","정보기술","KR5105578185","2006-06-27","ETF,ETF(국내주식),IT펀드","KODEX반도체 상장지수투자신탁(ETF)은 추적대상지수가 한국증권선물거래소가 발표하는 KRX Semicon지수인 상장지수투자신탁. 따라서 이 펀드는 당해 투자신탁의 수익률이 추적대상지수의 수익률과 동일한 수익률을 실현합니다.","추적대상 지수를 구성하는 종목 대부분에 투자함을 원칙으로 하되, 시가총액기준 하위종목의 비율이 지나치게 하락하거나 유동성에 문제가 있을 경우에는 해당 종목에 대한 투자 비율을 조절하거나 투자하지 아니할 수도 있음. 또한 추적대상 지수의 구성종목에 변경이 있을 경우에는 추적대상 지수에 포함되지 않은 종목에 투자가능.","1좌당 순자산가치의 변동률을 기초지수인 KRX Semicon 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Semicon지수는 반도체 산업의 주가흐름을 반영하는 지수로써 국내 반도체 산업을 대표하는 20개 종목으로 구성되어 있으며 2006.1.2 기준일로 하여 발표되고 있습니다.  유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","10","0.45","삼성자산운용(주)","539860627674","0.01","0.99"
"A091170","KODEX 은행","KRX 은행","2006-06-27","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","금융","KR5105578193","2006-06-27","ETF,ETF(국내주식),금융펀드,금융펀드(국내)","KODEX은행 상장지수투자신탁(ETF)은 추적대상지수가 한국증권선물거래소가 발표하는 KRX Banks지수(추적대상 지수)인 상장지수투자신탁. 따라서 이 펀드는 당해 투자신탁의 수익률이 추적대상지수의 수익률과 동일한 수익률 실현합니다.","추적대상 지수를 구성하는 종목 대부분에 투자함을 원칙으로 하되, 시가총액기준 하위종목의 비율이 지나치게 하락하거나 유동성에 문제가 있을 경우에는 해당 종목에 대한 투자 비율을조절하거나 투자하지 않습니다.","1좌당 순자산가치의 변동률을 기초지수인 KRX Banks 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Banks지수는 은행업종의 주가흐름을 반영하는 지수로써 국내 은행산업을 대표하는 10개 종목으로 구성되어 있으며 2006.1.2 1,000pt를 기준으로 하여 발표되고 있습니다.  유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","10","0.30","삼성자산운용(주)","324507018612","-0.01","4.58"
"A091180","KODEX 자동차","KRX 자동차","2006-06-27","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","경기소비재","KR5105578177","2006-06-27","ETF,ETF(국내주식)","이 투자신탁은 KRX Autos 지수(이하 “추적대상지수”라 한다)를 추적대상 지수로 하여 1좌당 순자산가치의 변동률을 추적대상지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다.","이 투자신탁은 그 투자신탁재산을 추적대상 지수의 구성종목을 거의 그대로 투자하는 완전복제(full replication)에 의하여 운용하는 것을 원칙으로 합니다. 그러나, 투자대상 주식의 합병, 분할 등 불가피할 사유가 발생하는 경우에는 완전복제가 아닌 부분복제(Sampling)에 의한 방법으로 운용할 수도 있습니다.","1좌당 순자산가치의 변동률을 기초지수인 KRX Autos 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Autos지수는 국내 자동차 산업의 주가흐름을 반영하는 지수로써 국내 자동차산업을 대표하는 20개 종목으로 구성되어 있으며 2006.1.2 1,000pt를 기준으로 하여 발표되고 있습니다.  유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","10","0.45","삼성자산운용(주)","501562380451","-0.17","3.34"
"A091220","TIGER 은행","KRX 은행","2006-06-27","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","금융","KR5225578248","2006-06-27","ETF,ETF(국내주식),금융펀드,금융펀드(국내)","이 투자신탁은 국내 주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하여 “KRX BANKS”를 추적대상지수로 하여 보수차감후 1좌당 순자산가치의 변동률을 지수의 변동률과 유사하도록 투자신탁 재산을 운용함을 목적으로 합니다.","투자신탁의 비교지수인 KRX BANKS지수 수익률을 추적하기 위하여 지수구성하는 종목 전체를 편입하는 완전복제를 원칙으로 하되, 필요시 최적화 기법을 적용하여 일부종목만 편입하는 부분복제전략을 사용할 수 있음. 추적오차율은 펀드의 기간 수익률과 이에 대응하는 비교지수 수익률과의 차이로 측정되며, 다음과 같은 방법으로 계산. 추적오차율 : ABS(과거1년간 펀드의 기간수익률-과거1년간 비교지수 기간수익률) 상기 방식으로 계산된 추적오차율이 10%이상 발생","1좌당 순자산가치의 변동률을 기초지수인 KRX Banks 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Banks 지수는 유가증권시장과 코스닥시장에 상장된 은행주 10종목으로 구성된 지수로서, 유동성, 자기자본이익률 등을 고려하여 산출됩니다. 따라서, 투자자는 TIGER 은행 ETF에 투자함으로써 유가증권시장 및 코스닥 시장의 은행 업종에 투자하는 것과 유사한 수익률을 기대할 수 있습니다.  기초지수 추종을 위하여 지수를 구성하는 종목 전체를 편입하는 완전복제전략을 원칙으로 하되, 필요시 최적화 기법을 적용하여 일부종목만 편입하는 부분복제전략을 사용합니다.","10","0.46","미래에셋자산운용(주)","9278944940","-0.10","4.58"
"A091230","TIGER 반도체","KRX 반도체","2006-06-27","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","정보기술","KR5225578230","2006-06-27","ETF,ETF(국내주식),IT펀드","한국증권선물거래소가 발표하는 KRX SEMICON을 추적대상 지수로 하는 상장지수투자신탁으로 펀드의 수익률이 추적대상 지수인 KRX SEMICON의 수익률과 동일한 수익률 실현합니다.","투자신탁의 비교지수(벤치마크,benchmark)인 KRX SEMICON지수 수익률을 추적하기 위하여 지수구성하는 종목 전체를 편입하는 완전복제를 원칙으로 하되, 필요시 최적화 기법을 적용하여 일부종목만 편입하는 부분복제전략. 추적오차율은 펀드의 기간 수익률과 이에 대응하는 비교지수 수익률과의 차이로 측정","1좌당 순자산가치의 변동률을 기초지수인 KRX Semicon 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Semicon 지수는 유가증권시장 및 코스닥시장에 상장된 종목중 전기·전자산업에 속한 반도체칩 제조기업과 다른 산업에 속한 종목 중 반도체 부품, 장비제조 관련 20종목으로 구성된 지수로서, 유동성, 자기자본이익률 등을 고려하여 산출됩니다. 따라서 투자자는 TIGER 반도체 ETF에 투자함으로써 유가증권시장 및 코스닥시장의 반도체 업종에 투자하는 것과 유사한 수익률을 기대할 수 있습니다.  기초지수 추종을 위하여 지수를 구성하는 종목 전체를 편입하는 완전복제전략을 원칙으로 하되, 필요시 최적화 기법을 적용하여 일부종목만 편입하는 부분복제전략을 사용합니다.","10","0.46","미래에셋자산운용(주)","229961650867","-0.21","0.99"
"A098560","TIGER 방송통신","KRX 방송통신","2007-09-07","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","경기소비재","KR5225734031","2007-09-07","ETF,ETF(국내주식)","이 투자신탁은 국내 주식을 법 시행령 제94조제2항제4호에서 규정하는 주된 투자대상자산으로 하여 “KRX 방송통신”을 추적대상지수로 하여 보수차감후 1좌당 순자산가치의 변동률을 지수의 변동률과 유사하도록 투자신탁재산을 운용함을 목적으로 합니다.","추적대상지수 구성종목 중에서 부도리스크, 유동성 등을 감안한 종목으로 투자가능대상 종목을 구성하고 당해 투자가능대상 종목 중에서 추적오차를 감안하여 종목군을 표본추출(Sampling)하여 투자합니다.","1좌당 순자산가치의 변동률을 기초지수인 KRX Media & Telecom 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Media & Telecom 지수는 유가증권시장 및 코스닥시장에 상장된 종목중 출판업, 광고업, 영화산업, 방송업, 공연산업, 전기통신 업종에 속한 10종목으로 구성된 지수로서, 유동성, 자기자본이익률 등을 고려하여 산출됩니다.  기초지수 추종을 위하여 지수를 구성하는 종목 전체를 편입하는 완전복제전략을 원칙으로 하되, 필요시 최적화 기법을 적용하여 일부종목만 편입하는 부분복제전략을 사용합니다.","10","0.46","미래에셋자산운용(주)","2508715960","-0.39","4.53"
"A102960","KODEX 기계장비","KRX 기계장비","2008-05-29","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","산업재","KR5105837854","2008-05-29","ETF,ETF(국내주식)","KRX Shipbuilding 지수를 추적대상 지수로 하여 1좌당 순자산가치의 변동률을 추적대상지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다.","KRX Shipbuilding 지수 구성종목 중에서 부도 리스크, 유동성 등을 감안한 종목으로 투자가능대상 종목을 구성하고, 당해 투자가능대상 종목 중에서 추적오차를 감안하여 종목군을 표본추출(Sampling)하여 투자합니다.","KRX 기계장비지수를 추적대상 지수로 하여 1좌당 순자산가치의 변동률을 추적대상지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다.KRX 기계장비지수는 국내 기계장비업종을 대표하는 우량기업을 시가총액 가중방식으로 구성한 지수로 매년 1회 지수 정기변경이 이루어집니다.","10","0.45","삼성자산운용(주)","11400566561","-0.25","0.34"
"A102970","KODEX 증권","KRX 증권","2008-05-29","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","금융","KR5105837847","2008-05-29","ETF,ETF(국내주식),금융펀드,금융펀드(국내)","KRX Securities 지수를 추적대상 지수로 하여 1좌당 순자산가치의 변동률을 추적대상지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다.","KRX Securities 지수 구성종목 중에서 부도 리스크, 유동성 등을 감안한 종목으로 투자가능대상 종목을 구성하고, 당해 투자가능대상 종목 중에서 추적오차를 감안하여 종목군을 표본추출 (Sampling)하여 투자합니다.","1좌당 순자산가치의 변동률을 기초지수인 KRX Securities 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Securities 지수는 국내 증권 산업의 주가흐름을 반영하는 지수로써 국내 증권업종을 대표하는 11개 종목으로 구성되어 있으며 2006.1.2 1,000pt를 기준으로 하여 발표되고 있습니다.  유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","10","0.45","삼성자산운용(주)","32377015464","-0.04","3.82"
"A117460","KODEX 에너지화학","KRX 에너지화학","2009-10-12","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","에너지화학","KR5105166692","2009-10-12","ETF,ETF(국내주식)","KRX Energy & Chemicals 지수(이하 “기초지수”라 한다)를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다.","KRX Energy & Chemicals 지수를 완전복제하는 방식으로 포트폴리오를 구성할 예정이며, 필요에 따라 KRX Energy & Chemicals 지수구성종목 중에서 부도 리스크, 유동성 등을 감안한 종목으로 투자가능대상 종목을 구성하고, 당해 투자가능대상 종목 중에서 추적오차를 감안하여 종목군을 표본추출(Sampling)하여 투자합니다","1좌당 순자산가치의 변동률을 기초지수인 KRX Energy & Chemicals 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Energy & Chemicals 지수는 국내 에너지 및 화학산업의 주가흐름을 반영하는 지수로써 국내 에너지 및 화학업종을 대표하는 20개 종목으로 구성되어 있으며 2007.1.2 1,000pt를 기준으로 하여 발표되고 있습니다.  유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","10","0.45","삼성자산운용(주)","19635972216","-0.57","1.73"
"A117680","KODEX 철강","KRX 철강","2009-10-30","국내","코스피+코스닥","코스피+코스닥","주식","업종섹터","철강소재","KR5105171510","2009-10-30","ETF,ETF(국내주식),원자재펀드,천연자원펀드","KRX Steels 지수를 기초지수로 하여 1좌당 순자산가치의 변동률을 기초지수의 변동률과 유사하도록 투자신탁재산을 운용함을 그 운용목적으로 합니다.","기본적으로 KRX Steels 지수를 완전복제하는 방식으로 포트폴리오를 구성할 예정이며, 필요에 따라KRX Steels 지수구성종목 중에서 부도 리스크, 유동성 등을 감안한 종목으로 투자가능대상 종목을 구성하고, 당해 투자가능대상 종목 중에서 추적오차를 감안하여 종목군을 표본추출(Sampling)하여 투자합니다","1좌당 순자산가치의 변동률을 기초지수인 KRX Steels 지수의 변동률과 유사하도록 투자신탁재산을 운용하는 것을 목표로 합니다.  한국거래소가 산출하는 KRX Steels 지수는 국내 철광업, 비철금속광업, 제1차 철강산업, 1차 비철금속산업, 금속주조업종을 대표하는 10개 종목으로 구성되어 있으며 2007.1.2 1,000pt를 기준으로 하여 발표되고 있습니다.  유동성, 재무상태 등의 기준을 적용하여 종목을 선정하며 유동주식가중 시가총액방식 지수로서 매년 9월 지수구성종목의 정기변경이 이루어집니다.","10","0.45","삼성자산운용(주)","14206330618","-0.49","3.16"
